@@,itemlabel,item,startdate,enddate
+++,John McMillan,Q6248163,2010-11-01,2015-07-30
->,Timothy Pilgrim,Q7807458,2016-10-13,NULL->2018-03-24
+++,Angelene Falk,,2018-03-25,
