@@,itemlabel,item,startdate,enddate
+++,John Forrest,Q921617,1901-01-17,1903-08-10
+++,James Drake,Q6132824,1903-08-10,1903-09-24
+++,Austin Chapman,Q4823024,1903-09-24,1904-04-27
+++,Anderson Dawson,Q118051,1904-04-27,1904-08-18
->,James Whiteside McCay->James McCay,Q6145455,1904-08-18,1905-07-02->1905-07-05
+++,Thomas Playford,Q7793194,1905-07-05,1907-01-24
+++,Thomas Ewing,Q7789411,1907-01-24,1908-11-13
+++,George Pearce,Q364568,1908-11-13,1909-06-02
+++,Joseph Cook,Q356230,1909-06-02,1910-04-29
+++,George Pearce,Q364568,1910-04-29,1913-06-24
+++,Edward Millen,Q643954,1913-06-24,1914-09-17
+++,George Pearce,Q364568,1914-09-17,1915-10-27
+++,George Pearce,Q364568,1915-10-27,1916-11-14
+++,George Pearce,Q364568,1916-11-14,1917-06-13
+++,George Pearce,Q364568,1917-06-13,1921-12-21
+++,Walter Massy-Greene,Q7965561,1921-12-21,1923-02-09
+++,Neville Howse,Q7004730,1925-01-16,1927-04-02
+++,William Glasgow,Q7795142,1927-04-02,1929-10-22
+++,John Daly,Q6228464,1931-02-04,1931-03-03
+++,George Pearce,Q364568,1932-01-06,1934-10-12
+++,Archdale Parkhill,Q4785718,1934-10-12,1937-11-20
+++,Harold Thorby,Q5662549,1937-11-29,1938-11-07
+++,Geoffrey Street,Q5534914,1938-11-07,1939-04-07
+++,Geoffrey Street,Q5534914,1939-04-07,1939-04-26
+++,Geoffrey Street,Q5534914,1939-04-26,1939-11-13
+++,Robert Menzies,Q214438,1939-11-13,1941-08-29
---,Archie Cameron,Q4786639,1940-03-14,1940-10-28
+++,Robert Menzies,Q214438,1941-08-29,1941-10-07
+++,John Curtin,Q23375,1941-10-07,1945-07-06
+++,Jack Beasley,Q118588,1945-07-06,1945-07-13
+++,Jack Beasley,Q118588,1945-07-13,1946-08-14
+++,Frank Forde,Q459146,1946-08-15,1946-11-01
+++,John Dedman,Q15489457,1946-11-01,1949-12-19
+++,Eric Harrison,Q5386678,1949-12-19,1950-10-24
+++,Philip McBride,Q7184053,1950-10-24,1958-12-10
---,William McMahon,Q356261,1951-07-17,1954-07-09
->,John Gorton->Athol Townley,Q356411->Q4815639,1958-12-10,1963-12-18
---,Jim Forbes,Q6195021,1963-12-18,1966-01-26
->,Paul Hasluck,Q1382174,1963->1963-12-18,1964->1964-04-24
+++,Shane Paltridge,Q7488222,1964-04-24,1966-01-19
+++,Allen Fairhall,Q661510,1966-01-26,1967-12-12
+++,Allen Fairhall,Q661510,1967-12-12,1968-01-10
+++,Allen Fairhall,Q661510,1968-01-10,1969-11-12
---,Andrew Peacock,Q374949,1969-11-12,1971-03-10
+++,David Fairbairn,Q5233527,1971-08-13,1972-12-05
---,Lance Barnard,Q3216921,1972-12-02,1975-06-06
+++,Bill Morrison,Q4910261,1975-06-06,1975-11-11
+++,James Killen,Q6137315,1975-11-12,1982-05-07
->,Ian Sinclair,Q5982908,1982-05-07,1983-03-11->1982-10-16
+++,Ian Sinclair,Q5982908,1982-10-16,1983-03-11
+++,Gordon Scholes,Q5585795,1983-03-11,1984-12-13
->,Robert Ray,Q7349176,1990-04-04,1996-03-11->1991-12-20
+++,Robert Ray,Q7349176,1991-12-20,1996-03-11
+++,Peter Reith,Q7176566,2001-01-30,2001-11-26
->,Robert Hill,Q773848,2001-11-12->2001-11-26,2006-01-27->2006-01-20
->,Brendan Nelson,Q908749,2006-01-27->2006-01-20,2007-12-03
->,Joel Fitzgibbon,Q3180236,2007-12-03,2009-06-04->2009-06-09
->,John Faulkner,Q466003,2009-06-09,2010-09-13->2010-06-24
+++,John Faulkner,Q466003,2010-06-24,2010-09-14
->,Stephen Smith,Q1376420,2010-09-13->2013-06-27,2013-09-18
+++,Stephen Smith,Q1376420,2010-09-14,2013-06-27
->,Kevin Andrews,Q6395733,2014-12-23,2015-09-21->2015-09-15
+++,Kevin Andrews,Q6395733,2015-09-15,2015-09-21
->,Marise Payne,Q16191011,2015-09-21,2018-08-28->2018-08-24
+++,Marise Payne,Q16191011,2018-08-24,2018-08-28
->,Linda Reynolds,Q16735152,2019-05-29,2021-03-29->2021-03-30
