item,itemLabel,startDate,endDate,sourceDate,psid
Q355053,Major General Michael Jeffery AC CVO MC,1993-11-01,2000-08-17,2022-07-03,Q355053-433B6CB5-900C-4E86-84BD-55B20FC9BFD7
Q3182423,Lieutenant General John Sanderson AC,2000-08-18,2005-10-31,2022-07-03,Q3182423-0B455848-DD79-4845-9C78-BFE8DE391E9F
Q185788,Dr Ken Michael AC,2006-01-18,2011-05-02,2022-07-03,Q185788-21A51FC1-EE15-4917-B9E6-2F596166868F
Q1967221,Malcolm McCusker AC CVO QC,2011-07-01,2014-06-30,2022-07-03,Q1967221-2277a86c-4bec-0821-19bf-21b5029660e1
Q17402900,Kerry Sanderson AC,2014-10-20,2018-05-01,2022-07-03,Q17402900-06f8b115-4978-dc92-15a5-9a6ce1544a87
Q304561,Kim Beazley AC,2018-05-01,2022-06-30,2022-07-03,Q304561-9ecd21b4-48fb-4057-507a-2b2c2a19fe6d
Q41790075,Chris Dawson,2022-07,,,Q41790075-b6ae475f-4671-1ff2-1340-8498694ba244
