item,itemLabel,startDate,endDate,sourceDate,psid
Q4932251,Bob Debus,2007-12-03,2009-06-09,,Q4932251-776EA4E8-92E6-480C-8033-02FC520BFF6E
Q4961047,Brendan O'Connor,2009-06-09,2011-12-14,,Q4961047-7815540D-A792-44EB-8ACD-F84D9E99AFD2
Q6162219,Jason Clare,2011-12-14,2013-09-18,,Q6162219-3008740c-49a4-a1cf-79df-dd6e1a0d5023
Q7173778,Peter Dutton,2017-12-20,2021-03-30,,Q7173778-5b865187-4c9b-6d83-c429-cb30d661c402
Q6369482,Karen Andrews,2021-03-30,2022-05-23,,Q6369482-7abe605d-4f89-c779-4d4e-d37537075257
Q16217223,Jim Chalmers,2022-05-23,,,Q16217223-31205D04-6775-4A79-A250-9AD5F7BFB141
