@@,itemlabel,item,startdate,enddate
+++,Sir William Lyne,Q1158950,1901-01-01,1903-08-11
+++,Sir John Forrest,Q921617,1903-08-11,1903-09-24
+++,Sir John Forrest,Q921617,1903-09-24,1904-04-27
+++,Lee Batchelor,Q1811712,1904-04-27,1904-08-17
+++,Dugald Thomson,Q5312473,1904-08-17,1905-07-05
+++,Littleton Groom,Q1865883,1905-07-05,1906-10-12
+++,Thomas Ewing,Q7789411,1906-10-12,1907-01-24
+++,John Keating,Q11727915,1907-01-24,1908-11-13
+++,Hugh Mahon,Q747564,1908-11-13,1909-06-02
+++,George Fuller,Q5539523,1909-06-02,1910-04-29
+++,King O'Malley,Q1742060,1910-04-29,1913-06-24
+++,Joseph Cook,Q356230,1913-06-24,1914-09-17
+++,William Archibald,Q8004521,1914-09-17,1915-10-27
+++,King O'Malley,,1915-10-27,1916-11-14
+++,Fred Bamford,Q5494524,1916-11-14,1917-02-17
+++,Paddy Glynn,Q1488379,1917-02-17,1920-02-03
+++,Alexander Poynton,Q4719882,1920-02-03,1921-12-21
+++,George Pearce,Q364568,1921-12-21,1923-02-09
+++,George Pearce,Q364568,1923-02-09,1926-06-18
+++,Sir William Glasgow,Q7795142,1926-06-18,1927-04-02
+++,Charles Marr,Q5080666,1927-04-02,1928-02-24
+++,Sir Neville Howse,Q7004730,1928-02-24,1928-11-29
+++,Aubrey Abbott,Q4819077,1928-11-29,1929-10-22
+++,Arthur Blakeley,Q4798024,1929-10-22,1932-01-06
+++,Sir Archdale Parkhill,Q4785718,1932-01-06,1932-04-12
---,Paul Hasluck,Q1382174,1951,1963
---,John Gorton,Q356411,1963-12-18,1964-03-04
---,Andrew Peacock,Q374949,1972-01-25,1972-12-05
---,Paul Keating,Q242654,1975-10-21,1975-11-11
---,Ian Sinclair,Q5982908,1975-11-11,1975-12-22
+++,Robert Ellicott,Q4932363,1977-12-20,1980-11-03
+++,Robert Ellicott,Q4932363,1980-11-03,1981-02-17
+++,Michael MacKellar,Q6832407,1981-02-17,1981-03-19
+++,Ian Wilson,Q5983284,1981-03-19,1982-05-07
+++,Tom McVeigh,Q7816862,1982-05-07,1982-10-16
+++,Tom McVeigh,Q7816862,1982-10-16,1983-03-11
+++,Barry Cohen,Q4864101,1983-03-11,1984-12-13
+++,Robert Ray,Q7349176,1987-07-24,1988-09-02
->,Brendan O'Connor,Q4961047,2009-06-09,2011-12-14->2010-06-24
+++,Brendan O'Connor,Q4961047,2010-06-24,2011-12-14
->,Jason Clare,Q6162219,2011-12-14,2013-09-18->2013-06-27
+++,Jason Clare,Q6162219,2013-06-27,2013-09-18
->,Peter Dutton,Q7173778,2017-12-20,2021-03-30->2018-08-24
+++,Peter Dutton,Q7173778,2018-08-24,2021-03-30
