item,itemLabel,startDate,endDate,psid
Q16730377,David Johnston,2014-05-20,2018-05-24,Q16730377-092ad8b3-420d-cf62-1540-b01a8e7f687f
Q18639131,Greg Bilton,2019-07-01,,Q18639131-29205569-40a8-e108-20ed-ba093a4facef
Q4804422,Ash Power,2011-05,2014-05-20,Q4804422-c86fcc35-49ef-f255-bf64-7537b4553204
Q5235277,David Hurley,2007-09,2008-07,Q5235277-8b0847d6-4756-ca68-5122-3d0fa92163a3
Q6767549,Mark Evans,2008-07,2011-05,Q6767549-08cdce53-4d2a-3b49-f41f-c549903955e4
Q6810731,Mel Hupfeld,2018-05-24,2019-07-01,Q6810731-ce11ffcd-48f8-86e0-8eef-7a3bfef9b06d
