@@,item,itemlabel,startdate,enddate,district,districtlabel,party,partylabel,psid
->,Q19518802,Leanne Linard,2015-01-31,,Q5355823,Nudgee,NULL->Q55604512,NULL->Labor,Q19518802-94551ED8-B439-487B-9637-75CEC5C43495
->,Q18977960,Leeanne Enoch,2015-01-31,,Q5355030,Algester,Q55604512,Australian Labor Party (Queensland Branch)->Labor,Q18977960-8A6B0AFE-D15C-4905-87A4-B03AFC568D1B
->,Q101074121,Les Walker,2020-10-31,,Q5355732,Mundingburra,Q55604512,Australian Labor Party (Queensland Branch)->Labor,Q101074121-48f07039-4161-d2cc-6b81-f39f59822559
->,Q19518734,Linus Power,2015-01-31,,Q5355606,Logan,NULL->Q55604512,NULL->Labor,Q19518734-F55AC4F8-7EDD-4D80-BD60-616204A2CF25
->,Q18977727,Mark Bailey,2017-11-25,,Q30641918,Miller,NULL->Q55604512,NULL->Labor,Q18977727-ffa177ef-42ed-d3fe-025b-678e81430125
->,Q6766782,Mark Boothman,2017-11-25,,Q30641906,Theodore,NULL->Q1822905,NULL->LNP,Q6766782-39ffc25d-4794-a7ad-22c6-67e062d70821
->,Q6767697,Mark Furner,2015-01-31,,Q5355395,Ferny Grove,NULL->Q55604512,NULL->Labor,Q6767697-54681E68-C9D6-471D-8985-8A8043B832AD
->,Q6769470,Mark Robinson,2017-11-25,,Q30641916,Oodgeroo,Q1822905,Liberal National Party of Queensland->LNP,Q6769470-db30458c-42f1-ce02-950d-5e851bda6b66
->,Q6769538,Mark Ryan,2015-01-31,,Q5355691,Morayfield,NULL->Q55604512,NULL->Labor,Q6769538-9a39076a-4445-463f-4b6b-9abcbd6e110c
->,Q44219403,Meaghan Scanlon,2017-11-25,,Q5355425,Gaven,NULL->Q55604512,NULL->Labor,Q44219403-2633f8b0-4512-1095-4530-8dfaa6328ad4
->,Q44775995,Melissa McMahon,2017-11-25,,Q30641915,Macalister,NULL->Q55604512,NULL->Labor,Q44775995-c2da9a0b-40f1-acf1-33bc-a16147a5b907
->,Q44775990,Michael Berkman,2017-11-25,,Q30641923,Maiwar,NULL->Q7270946,NULL->Greens,Q44775990-b62a2400-444c-60d4-c0e3-1bec78a92e65
->,Q6829524,Michael Crandon,2009-03-21,,Q5355271,Coomera,NULL->Q1822905,NULL->LNP,Q6829524-1C5176BF-602F-4648-89CA-84FEC110F16B
->,Q6830979,Michael Hart,2012-03-24,,Q5355184,Burleigh,NULL->Q1822905,NULL->LNP,Q6830979-DF21C2F3-F5B2-4BC3-8033-9089D6C3DB61
->,Q44113020,Michael Healy,2017-11-25,,Q5355198,Cairns,NULL->Q55604512,NULL->Labor,Q44113020-a5108427-4333-1c95-59af-a5b1936187f4
->,Q18977905,Mick de Brenni,2015-01-31,,Q5355969,Springwood,NULL->Q55604512,NULL->Labor,Q18977905-FA19D257-65AC-4914-A1E3-1745485E040F
->,Q45005820,Nick Dametto,2017-11-25,,Q5355515,Hinchinbrook,NULL->Q6378340,NULL->KAP,Q45005820-c3b4647d-4574-20d0-68e9-b163b47c321a
->,Q18977782,Nikki Boyd,2015-01-31,,Q5355856,Pine Rivers,NULL->Q55604512,NULL->Labor,Q18977782-96e15869-4c5a-c0b0-1893-cd5cbb14fdaa
->,Q19519223,Pat Weir,2015-01-31,,Q5355263,Condamine,NULL->Q1822905,NULL->LNP,Q19519223-F58E655E-03F4-418F-956D-BA546390B849
->,Q19519352,Peter Russo,2017-11-25,,Q30641919,Toohey,NULL->Q55604512,NULL->Labor,Q19519352-f02589b3-43d5-2d0f-a98c-b2e4f1e5ad39
->,Q7298155,Ray Stevens,2009-03-21,,Q5355650,Mermaid Beach,Q1822905,Liberal National Party of Queensland->LNP,Q7298155-747ca009-4556-5461-0975-cde89575d3b9
->,Q7340263,Rob Katter->Robbie Katter,2017-11-25,,Q30641938,Traeger,NULL->Q6378340,NULL->KAP,Q7340263-3ecd684e-4a4b-a65d-f773-228feb193876
->,Q7340386,Rob Molhoek,2012-03-24,,Q5355965,Southport,NULL->Q1822905,NULL->LNP,Q7340386-90D4A25B-5D88-4235-BEF0-CC0CAC1CA477
+++,Q101579940,Robert Skelton,,,Q5355780,Nicklin,Q55604512,Labor,
->,Q7366970,Ros Bates,2009-03-21,,Q5355726,Mudgeeraba,NULL->Q1822905,NULL->LNP,Q7366970-CA40F9D4-4AB8-4386-9A54-15F6113F3C14
->,Q43964310,Sam O'Connor,2017-11-25,,Q30641900,Bonney,NULL->Q1822905,NULL->LNP,Q43964310-59bfe6a6-4383-c846-3480-4eb3aab7805b
->,Q43728340,Sandy Bolton,2017-11-25,,Q5355786,Noosa,NULL->Q327591,NULL->Independent,Q43728340-03563a98-4a0c-f4a8-ae0a-22104eb706ed
->,Q19519202,Scott Stewart,2015-01-31,,Q5356042,Townsville,NULL->Q55604512,NULL->Labor,Q19519202-1E61F7E9-C261-4CAB-82FA-73225A6EE1B9
->,Q19519204,Shane King,2017-11-25,,Q5355581,Kurwongbah,NULL->Q55604512,NULL->Labor,Q19519204-accba541-42d9-5603-f220-96b5cb09a0ad
->,Q7488127,Shane Knuth,2017-11-25,,Q30641934,Hill,NULL->Q6378340,NULL->KAP,Q7488127-4d788b39-4ba7-4d48-49c3-545089d9b3fa
->,Q18977976,Shannon Fentiman,2015-01-31,,Q5356085,Waterford,NULL->Q55604512,NULL->Labor,Q18977976-3847B1BF-DDAD-490E-8882-1B1A575A93B6
---,Q44057179,Simone Wilson,2017-11-25,,Q5355876,Pumicestone,,,Q44057179-4ae21407-4769-d41d-620f-90706af3162f
