item,itemLabel,position,positionLabel,start,psid
Q16189272,David Gillespie,Q107971726,Minister for Regional Health,2021-06-21,Q16189272-406035CC-A057-46E9-9277-1529430E06B3
Q16189272,David Gillespie,Q107971730,Deputy Leader of the House,2021-06-21,Q16189272-001DECDC-26D9-4841-97EC-A1BC89400384
Q16189272,David Gillespie,Q107972862,Minister Assisting the Minister for Trade and Investment,2021-06-21,Q16189272-1BFC762C-A908-4D0E-BC26-063E0DF995D9
Q16191011,Marise Payne,Q2660943,Minister for Foreign Affairs,2018-08-28,Q16191011-D5606213-CD88-4838-95AC-36BC3992DD3E
Q16191011,Marise Payne,Q6866013,Minister for the Status of Women,2019-05-29,Q16191011-FC1368F2-1247-4161-A6DB-6F8DCC329E21
Q16194644,Michelle Landry,Q107972819,Assistant Minister for Children and Families,2018-08-28,Q16194644-A9000CC6-982D-4B25-822C-07A6DD9510D0
Q16194644,Michelle Landry,Q107972835,Assistant Minister for Regional Tourism,2021-07-02,Q16194644-532D8867-DAD7-42C9-B0C6-1F2BC6F51DFE
Q16195119,Kevin Hogan,Q107972838,Assistant Minister for Local Government,2021-06-21,Q16195119-AC42A012-9163-4185-BEBB-0FE5936C7AEA
Q16195119,Kevin Hogan,Q107972840,Assistant Minister to the Deputy Prime Minister,2020-02-06,Q16195119-ADA44622-2A57-42C9-B46D-A777BACE01EF
Q16195275,Melissa Price,Q108865070,Minister for Science and Technology,2021-10-01,Q16195275-74B568B6-E8EE-4A43-B581-EFFB59A5016B
Q16195275,Melissa Price,Q6865784,Minister for Defence Materiel,2019-05-26,Q16195275-30EEDB3C-48AD-4D3A-B52D-C0687E103529
Q16196728,Angus Taylor,Q11796924,Minister for Climate Change and Energy Efficiency,2018-08-28,Q16196728-E1318566-2540-4896-8917-85CBEA0F64B7
Q16205919,Tim Wilson,Q108865049,"Assistant Minister to the Minister for Industry, Energy and Emissions Reduction",2016-07-02,Q16205919-2C676716-ADE3-4C4C-9DD6-883F8A3E8059
Q16206609,Keith Pitt,Q107971013,Minister for Resources and Water,2020-02-06,Q16206609-8932C897-8D10-4642-85EA-B69CCC8F0AF5
Q16214788,David Coleman,Q107972886,Assistant Minister to the Prime Minister for Mental Health and Suicide Prevention,2020-12-22,Q16214788-CE5EF072-F065-4445-95BA-40B1B7EE58A1
