wanted,position,positionid,from,start,end
Q7634188,Assistant Minister for Infrastructure and Transport,Q112274358,Q5044273,2022-05-23,
Q5238597,Minister for Education,Q50826624,Q50728309,2022-03-24,
Q7518284,Special Minister of State,Q7574624,Q25352543,2021-10-08,2022-05-23
Q1813692,Leader of the Government in the Senate,Q17009655,Q7518284,2020-10-30,
Q1813692,Vice-President of the Executive Council,Q11122003,Q7518284,2020-10-30,2022-05-22
Q17303605,Permanent Representative to the United Nations,Q7169231,Q6880868,2019-10-17,
Q4757008,Member of the New South Wales Legislative Assembly,Q19202748,Q62395954,2019-03-23,
Q11770700,Attorney-General,Q4818611,Q16213990,2018-11-29,2020-12-16
Q6288876,Minister for the Environment,Q11796986,Q16195275,2018-08-28,2019-05-26
Q16193316,Minister for Child Protection,Q50826661,Q7279386,2018-03-22,2022-03-21
Q6524523,"Minister for Recreation, Sport and Racing",Q50865231,Q16728204,2018-03-22,2022-03-21
Q7816502,Minister for Energy and Mining,Q50865495,Q5214641,2018-03-22,2022-03-21
Q1813692,Leader of the Government in the Senate,Q17009655,Q6880868,2017-12-20,2018-08-23
Q572783,Minister for the Status of Women,Q6866013,Q6386229,2017-12-20,2019-04-11
Q927550,Minister for Agriculture and Northern Australia,Q6865745,Q25756209,2017-12-20,2022-05-23
Q6763646,Lieutenant-Governor,Q55616845,Q6388005,2017-11-09,2021-11-12
Q6834704,Speaker of the Legislative Assembly,Q7574314,Q7177611,2017-05-11,
Q7177330,Minister for Mines and Petroleum,Q28183499,Q4909631,2017-03-22,
Q16142698,Member of the Western Australian Legislative Assembly,Q20165902,Q28957203,2017-03-11,
Q16189293,Member of the Western Australian Legislative Assembly,Q20165902,Q28972605,2017-03-11,
Q16196000,Member of the Western Australian Legislative Assembly,Q20165902,Q30122047,2017-03-11,
Q16217492,Member of the Western Australian Legislative Assembly,Q20165902,Q29364828,2017-03-11,
Q4961174,Member of the Western Australian Legislative Assembly,Q20165902,Q28968021,2017-03-11,
Q5484958,Member of the Western Australian Legislative Assembly,Q20165902,Q28957221,2017-03-11,
Q6209901,Member of the Western Australian Legislative Assembly,Q20165902,Q28968019,2017-03-11,
Q6225512,Member of the Western Australian Legislative Assembly,Q20165902,Q28968013,2017-03-11,
Q6834704,Member of the Western Australian Legislative Assembly,Q20165902,Q28968020,2017-03-11,
Q6939187,Member of the Western Australian Legislative Assembly,Q20165902,Q28950201,2017-03-11,
Q7152518,Member of the Western Australian Legislative Assembly,Q20165902,Q28957255,2017-03-11,
Q7340253,Member of the Western Australian Legislative Assembly,Q20165902,Q7175103,2017-03-11,2021-03-13
Q7823416,Member of the Western Australian Legislative Assembly,Q20165902,Q28968017,2017-03-11,2018-05-08
Q6148540,Member of the New South Wales Legislative Council,Q18810377,Q28819355,2017-02-22,
Q103836636,Solicitor-General,Q7557773,Q107228400,2017,2021
Q7846832,Deputy Premier,Q5261054,Q6220673,2016-11-15,2021-10-06
Q7050933,Member of the New South Wales Legislative Assembly,Q19202748,Q27897941,2016-11-12,
Q6388623,Member of the Western Australian Legislative Council,Q19627913,Q27450624,2016-09-27,2017-05-21
Q4679115,Treasurer,Q7836766,Q7030114,2016-08-31,
Q6231564,Attorney-General,Q28184344,Q16213089,2016-08-31,2020-09-07
Q16194854,member of the Northern Territory Legislative Assembly,Q26998278,Q26845735,2016-08-27,2020-07-30
Q16727397,member of the Northern Territory Legislative Assembly,Q26998278,Q7704806,2016-08-27,2020-08-22
Q4727007,member of the Northern Territory Legislative Assembly,Q26998278,Q26709567,2016-08-27,2020-07-30
Q4896371,member of the Northern Territory Legislative Assembly,Q26998278,Q26852924,2016-08-27,2020-07-30
Q5482887,member of the Northern Territory Legislative Assembly,Q26998278,Q26721597,2016-08-27,
Q6489439,member of the Northern Territory Legislative Assembly,Q26998278,Q26721593,2016-08-27,
Q7173228,member of the Northern Territory Legislative Assembly,Q26998278,Q26721591,2016-08-27,2020-08-22
Q7177170,member of the Northern Territory Legislative Assembly,Q26998278,Q26709293,2016-08-27,
Q8003623,member of the Northern Territory Legislative Assembly,Q26998278,Q26844627,2016-08-27,2020-07-30
Q7150671,"Minister for Local Government, Territories and Roads",Q6865914,Q5451092,2016-07-19,2017-10-27
Q4758396,"Assistant Minister to the Minister for Industry, Energy and Emissions Reduction",Q108865049,Q16205919,2016-07-02,2022-05-23
Q6740586,Special Minister of State,Q7574624,Q1813692,2016-02-18,2016-07-19
Q7489994,"Minister for Broadband, Communications and the Digital Economy",Q11796917,Q5451092,2016-02-18,2017-10-27
Q7627022,Minister for Human Services,Q6865874,Q4707935,2016-02-18,2017-12-20
Q8003623,Deputy Chief Minister,Q5261007,Q7177170,2016-02-16,
Q5110039,Minister for Health,Q6865857,Q7649377,2015-09-30,2017-01-13
Q7627022,Minister for Defence Materiel,Q6865784,Q6740586,2015-09-21,2015-12-29
Q4756662,Minister for Industrial Relations,Q23073736,Q5566385,2015-04-02,2017-01-30
Q4756662,Treasurer,Q7836754,Q5566385,2015-04-02,2017-01-30
Q4757935,Member of the New South Wales Legislative Assembly,Q19202748,Q19872098,2015-03-28,
Q4758651,Member of the New South Wales Legislative Assembly,Q19202748,Q6812492,2015-03-28,
Q4859220,Member of the New South Wales Legislative Assembly,Q19202748,Q6701971,2015-03-28,2019-03-23
Q4865044,Member of the New South Wales Legislative Assembly,Q19202748,Q19871946,2015-03-28,
Q4980068,Member of the New South Wales Legislative Assembly,Q19202748,Q21062726,2015-03-28,
Q5076138,Member of the New South Wales Legislative Assembly,Q19202748,Q6207887,2015-03-28,2021-12-31
Q5091941,Member of the New South Wales Legislative Assembly,Q19202748,Q19875673,2015-03-28,
Q5106806,Member of the New South Wales Legislative Assembly,Q19202748,Q19786997,2015-03-28,
Q5106907,Member of the New South Wales Legislative Assembly,Q19202748,Q19879126,2015-03-28,2017-02-14
Q5180722,Member of the New South Wales Legislative Assembly,Q19202748,Q21062727,2015-03-28,
Q5225228,Member of the New South Wales Legislative Assembly,Q19202748,Q5234738,2015-03-28,
Q5293273,Member of the New South Wales Legislative Assembly,Q19202748,Q19879144,2015-03-28,
Q5524124,Member of the New South Wales Legislative Assembly,Q19202748,Q19872021,2015-03-28,
Q6233495,Member of the New South Wales Legislative Assembly,Q19202748,Q19787050,2015-03-28,
Q7323725,Member of the New South Wales Legislative Assembly,Q19202748,Q19870797,2015-03-28,
Q7344585,Member of the New South Wales Legislative Assembly,Q19202748,Q19872872,2015-03-28,
Q7353625,Member of the New South Wales Legislative Assembly,Q19202748,Q19786993,2015-03-28,
Q7375307,Member of the New South Wales Legislative Assembly,Q19202748,Q19872994,2015-03-28,
Q7822629,Member of the New South Wales Legislative Assembly,Q19202748,Q19873373,2015-03-28,
