wanted,position,positionid,from,start,end
Q1449483,Minister for Small Business,Q11796971,Q7627022,2021-03-30,2022-05-23
Q16196728,Minister for Industry and Innovation,Q6865883,Q5110039,2021-03-30,2021-09-19
Q16218414,Minister for Human Services,Q6865874,Q16735152,2021-03-30,2022-05-23
Q463507,Vice-President of the Executive Council,Q11122003,Q7518284,2020-10-30,2022-05-22
Q16729821,"Minister for Recreation, Sport and Racing",Q50865231,Q16728204,2018-03-22,2022-03-21
Q7647681,Minister for Environment and Water,Q50826500,Q16885817,2018-03-22,2022-03-21
Q16214788,Minister for Citizenship and Multicultural Affairs,Q111097787,Q4707935,2017-12-20,2018-08-28
Q5361642,Attorney-General,Q24190182,Q8002867,2017-10-02,2018-03-21
Q7154043,Deputy Premier,Q5261054,Q6220673,2016-11-15,2021-10-06
Q26721593,Attorney-General,Q28184344,Q16213089,2016-08-31,2020-09-07
Q4800293,Minister for Industry and Innovation,Q6865883,Q5605742,2016-07-19,2017-01-24
Q5224839,"Minister for Local Government, Territories and Roads",Q6865914,Q5451092,2016-07-19,2017-10-27
Q7614564,Minister for Defence Materiel,Q6865784,Q978276,2016-07-19,2018-08-27
Q4768766,Minister for International Development and the Pacific,Q107971470,Q5158602,2016-02-18,2018-08-21
Q4966734,"Minister for Broadband, Communications and the Digital Economy",Q11796917,Q5451092,2016-02-18,2017-10-27
Q5224839,Minister for Infrastructure and Transport,Q6865888,Q5451092,2016-02-18,2017-10-27
Q6831813,Minister for Human Services,Q6865874,Q4707935,2016-02-18,2017-12-20
Q7437180,Special Minister of State,Q7574624,Q1813692,2016-02-18,2016-07-19
Q3195101,Minister for Health,Q6865857,Q7649377,2015-09-30,2017-01-13
Q16191011,Minister for Defence Materiel,Q6865784,Q6740586,2015-09-21,2015-12-29
Q4966734,Minister for Health,Q6865857,Q5451092,2015-09-21,2016-07-19
Q5214486,Minister for Education,Q11796967,Q7518284,2015-09-21,2018-08-28
Q7150671,"Minister for Broadband, Communications and the Digital Economy",Q11796917,Q6880868,2015-09-21,2019-05-29
Q7437180,Minister for Education,Q11796967,Q6702024,2015-09-21,2016-02-18
Q1813692,Leader of the Government in the Senate,Q17009655,Q5537216,2015-09-20,2017-12-20
Q7340581,Minister for Transport,Q6865982,Q4756662,2015-04-02,2021-10-06
Q5537216,ambassador to the United Kingdom,Q50321853,Q1239291,2014-06-27,2018-03-20
Q7846832,Minister for Police and Emergency Services,Q6865931,Q7626294,2014-05-06,2015-04-02
Q6830267,Deputy Premier,Q5261058,Q6181827,2014-03-31,2022-04-08
Q6830267,Treasurer,Q7836760,Q7174432,2014-03-31,2022-04-08
Q1813692,Vice-President of the Executive Council,Q11122003,Q5537216,2013-09-18,2017-12-20
Q6288876,Minister for the Environment,Q11796986,Q5605742,2013-09-18,2016-07-19
Q6386229,Minister for Small Business,Q11796971,Q4977155,2013-09-18,2015-09-21
Q6880868,Minister for the Arts,Q6865994,Q5537216,2013-09-18,2015-09-21
