item,itemLabel,startDate,endDate,sourceDate,psid
Q5395607,Errol McCormack,1998-05,2001-06,,Q5395607-CAAD1339-9AB8-4D07-A048-A40CA3A5A41E
Q2849811,Angus Houston,2001-06,2005-07,,Q2849811-D12C8C3A-009D-4409-8CDF-4C16E3C15339
Q5534310,Geoff Shepherd,2005-07,2008-07,,Q5534310-66DBE584-984F-43BC-921D-1C28D8DB40C2
Q6766742,Mark Binskin,2008-07,2011-07,,Q6766742-AB242990-2F89-4D80-B0C4-23BFB48FD6C9
Q5534061,Geoff Brown,2011-07,2015-07,,Q5534061-A669867F-3F02-4B69-AE9D-8DCEF52272A5
Q20676401,Leo Davies,2015-07,2019-07,2022-05-29,Q20676401-71099184-E208-4736-8113-D7D0DC2863A3
Q6810731,Mel Hupfeld,2019-07,,,Q6810731-1d289b46-424f-b387-3f6a-816be96e3885
